,#,Equipo,Pts,PJ,PG,PE,PP,GF,GC,DIF
0,,,,,,,,,,
1,1,Velez,31,13,10,1,2,23,13,+10
2,2,Boca Juniors,22,13,6,4,3,22,12,+10
3,3,Independiente,20,13,6,2,5,16,10,+6
4,4,Talleres (C),20,13,5,5,3,19,16,+3
5,5,Lanus,19,13,6,1,6,18,18,0
6,6,Union,19,13,4,7,2,12,14,-2
7,7,Atl Tucuman,18,13,5,3,5,24,20,+4
8,8,Gimnasia (LP),15,13,3,6,4,15,20,-5
9,9,Huracan,13,13,2,7,4,14,17,-3
10,10,Patronato,12,13,4,0,9,12,17,-5
11,11,Def y Justicia,12,13,3,3,7,15,21,-6
12,12,Sarmiento (J),12,13,2,6,5,10,19,-9
13,13,Newells,11,13,2,5,6,14,21,-7
